Filenames,ox,oy,oz,ux,uy,uz,vx,vy,vz,width,height,nr,depths
641_2002_2565_NM01_s002.png,485.57957743667407,458.81304174040247,330.143661217475,-519.9002013941459,-3.632059782602653,-7.798447557756845,4.707383658210347,-3.6383401872059835,-384.62742932031307,1024,670,2,453.58817277765377
641_2002_2565_NM01_s007.png,496.99647991219194,447.66526925422914,326.87211450598426,-510.2569721104317,-3.509194798903877,-1.8384452457145244,2.1684381865755995,-3.5460028570765303,-373.13109143107044,1024,670,7,436.16888323049017
641_2002_2565_NM01_s012.png,473.9145390266509,436.49907775269816,346.4079519717387,-505.18971759178163,-3.7825928675034106,-34.12058336878897,28.644176267482464,-3.27440918853398,-363.6559963952942,1024,670,12,428.5341045595852
641_2002_2565_NM01_s017.png,490.60655372054646,425.2652656053615,330.3380452025607,-479.1939657326642,-3.1656210160015235,11.889945282173642,-18.43731917688268,-3.6011688944755065,-364.136465115747,1024,670,17,418.0141673746134
641_2002_2565_NM01_s022.png,481.9428490185162,413.8105486048446,309.3014260998399,-488.2454555996305,-3.2902158130029875,5.324384357886402,-6.292400250485457,-3.501077891841362,-362.3567240933468,1024,670,22,407.68818233727353
641_2002_2565_NM01_s027.png,470.79301647024033,402.6087273683938,316.54776636684863,-481.20829239405515,-3.2555205449052664,3.913995379799246,-3.3862561266877833,-3.5715451058134704,-371.8246240518882,1024,670,27,392.69031658464803
641_2002_2565_NM01_s032.png,460.8767376937502,391.5293004354083,335.7349693255535,-462.68685708229816,-3.3072798924960125,-14.790561831322066,11.233042232039395,-3.373522307128212,-361.5571347841592,1024,670,32,386.41839985569175
641_2002_2565_NM01_s037.png,468.1189216570688,380.3378065324155,330.87546062902754,-484.274330789604,-3.3337979368283754,-2.0899760156476077,-1.6102854367859436,-3.586173522395086,-374.63095470280473,1024,670,37,373.66921433042836
641_2002_2565_NM01_s042.png,472.9134561380151,369.23309805780826,336.8650488572654,-473.4353660840992,-3.2670239021629186,-2.8650046810078607,-0.691958047130754,-3.5837567708112488,-375.0361713385708,1024,670,42,361.5522898630931
641_2002_2565_NM01_s047.png,487.06864860812175,358.00043141007257,322.7341727243696,-477.5802324112392,-2.995726937608538,28.535565245409316,-24.535928867655457,-3.72139761817607,-372.3618199234539,1024,670,47,351.89015492685286
641_2002_2565_NM01_s052.png,479.31515196735694,346.4371294646076,289.666572342517,-468.8083848101743,-2.761344269393021,46.80603161261382,-39.747057263487875,-3.7691002782166834,-366.45328631064257,1024,670,52,347.24996052527604
641_2002_2565_NM01_s057.png,483.21837215072844,335.4183595651567,305.300562375256,-469.6067584764514,-3.1062678333773874,11.234879934426885,-7.786983120389323,-3.4771176155328476,-358.77422012685514,1024,670,57,336.7256871419867
641_2002_2565_NM01_s062.png,472.8475839233688,324.2251137512631,312.88688515040576,-480.54301993650733,-3.3514966944966886,-6.620131122459043,6.664446291084914,-3.4587798498845927,-367.215061198209,1024,670,62,335.2068808532044
641_2002_2565_NM01_s067.png,481.16127603904226,313.221737032988,326.9713616337699,-480.04049391019845,-3.305889010492592,-2.2013592258002745,1.1457677715286536,-3.5560620932110965,-373.4518574027457,1024,670,67,317.01147455975405
641_2002_2565_NM01_s072.png,483.89386543618525,301.90715938609554,312.4478503490953,-477.2533636487169,-3.065065946459356,21.035333739305884,-18.543110233857362,-3.5713027259964747,-360.93093669903794,1024,670,72,303.5182955623268
641_2002_2565_NM01_s077.png,473.83118354311995,290.8545455936009,334.54970894874907,-478.65144723288415,-3.2993217542643833,-2.509210179729166,3.9461696608332772,-3.4868574275861874,-368.2081213041126,1024,670,77,283.050328906696
641_2002_2565_NM01_s082.png,470.59474223479697,279.6023086123614,330.8388153686557,-476.1774606993927,-3.2558088014447435,0.27641895302122066,2.8022263281060305,-3.5317735610730665,-372.0944959876198,1024,670,82,272.4300275950212
641_2002_2565_NM01_s087.png,470.3784840197074,268.4050796466318,330.7264371415077,-477.29883833638996,-3.1720994309549155,9.852187768667534,-3.3948945665458155,-3.493180067638974,-363.6067294452716,1024,670,87,255.6695736660143
641_2002_2565_NM01_s092.png,474.2433335111161,257.12719715916694,319.23622478137247,-474.1954223078373,-3.009630441382768,24.65156992809625,-14.143344467464033,-3.5842003109219718,-365.4373008670679,1024,670,92,253.91910020915523
641_2002_2565_NM01_s097.png,481.9531761859522,246.0023173660865,321.0216991521355,-482.306853751439,-3.0506766764253825,26.16676047983833,-16.619705909927802,-3.6305985038577546,-368.5235651725076,1024,670,97,236.09608545812847
641_2002_2565_NM01_s102.png,487.3613654091648,234.89856703151733,326.6716742609409,-491.55110485025597,-3.136105197521829,23.843542551015844,-15.786399229353492,-3.6052594725818494,-366.4658750397756,1024,670,102,231.47250014904114
641_2002_2565_NM01_s122.png,465.07446895801513,190.0333218110611,333.584401940936,-473.0785368948189,-3.1382448415574515,10.373545863165134,-7.157683244621239,-3.5675078527522146,-368.6972257440916,1024,670,122,189.40467654009908
641_2002_2565_NM01_s127.png,480.23119279619146,178.95616125385646,335.0304449528666,-476.7994796758327,-3.2164423398785686,4.84754788757823,-3.406181747131825,-3.547685860411093,-369.31015046745364,1024,670,127,177.29654323457106
641_2002_2565_NM01_s132.png,471.59574455497017,167.68269405221315,332.9662635486542,-477.3097415769094,-3.1672135633842515,10.371982359860112,-9.29854839915214,-3.593187295881904,-369.8529941484054,1024,670,132,163.04839164866738
641_2002_2565_NM01_s137.png,465.9094608585751,156.42882967302083,330.84150134599713,-473.19322546372933,-3.2097763418606746,2.9601879031720273,-2.212249719674844,-3.4201134875496564,-356.7982916729128,1024,670,137,153.57345285647264
641_2002_2565_NM01_s142.png,464.2862803678853,145.2322907560257,331.81026988648256,-466.9059049746292,-3.3120850821945,-12.268809219106345,9.94778284520305,-3.314397965434381,-354.4400207747217,1024,670,142,141.00857241398697
641_2002_2565_NM01_s147.png,464.9756908855105,133.8920012621048,316.0575485522789,-470.0836678351675,-3.179078123782091,3.947256206069369,-7.317918713777885,-3.5528255610396116,-367.04380961765895,1024,670,147,132.4528416347107
641_2002_2565_NM01_s152.png,465.5182844440268,122.63370132160418,309.0015693633498,-467.3772725396523,-3.2377860442568362,-4.1452164361959944,4.032919217986205,-3.4590179026152867,-365.3530947383807,1024,670,152,123.07650646907099
641_2002_2565_NM01_s157.png,474.6121367015163,111.78761077828479,339.00821985835177,-474.3428688560307,-3.33821110293907,-9.673797202595551,7.950034502281255,-3.472094698700971,-369.5321524252905,1024,670,157,111.79333491472747
641_2002_2565_NM01_s162.png,479.2838097517957,100.59629138336616,336.0101893551921,-478.1244614395098,-3.259571883576683,1.2781958554577386,-4.213788783968425,-3.582671764854979,-372.3971362042017,1024,670,162,105.5910028406173
641_2002_2565_NM01_s167.png,453.31652392513865,89.01201215830017,313.80467080256403,-460.4208965228047,-3.242555921368023,-9.633120111831431,6.821054847498374,-3.417646414627626,-363.017133274188,1024,670,167,95.82079668097279
641_2002_2565_NM01_s172.png,457.8439388224262,77.77753395570112,306.3875843313019,-455.2020226223548,-3.069619385199829,4.7462356079890355,-7.262196292446845,-3.5490824538067898,-366.6915435230066,1024,670,172,80.58465426005026
641_2002_2565_NM01_s177.png,456.0423295472714,66.58770815608574,308.1877397207553,-454.93715081555496,-3.1303556148218377,-1.8080824043703956,0.0761649802636839,-3.501853503726224,-367.0045204884757,1024,670,177,71.14254267345423
641_2002_2565_NM01_s182.png,454.89684344601085,55.450539368440914,315.03521362863336,-459.9705228889141,-3.246544874348814,-10.374055637581648,2.9112072370419924,-3.4212468744104854,-360.5908428237568,1024,670,182,67.02667019985351
641_2002_2565_NM01_s187.png,464.2931572786333,44.24506429412064,307.16603413661767,-449.61774308894996,-3.0541041008855316,2.367821602556262,-9.467788916831012,-3.499484213993995,-359.9127429742674,1024,670,187,51.7101287429358
641_2002_2565_NM01_s192.png,471.6700556236983,32.95428369589046,291.80594275832306,-460.74052097310556,-3.1108133014515147,4.401025348255018,-9.309206516529002,-3.5214526357469893,-362.3284705218462,1024,670,192,39.89547432364349
641_2002_2565_NM01_s197.png,465.530251097443,21.930428100965248,314.1083866415232,-448.02813983240475,-3.130498758169743,-6.777196691854954,-1.4170846950851228,-3.395665569366077,-354.80663566701816,1024,670,197,29.298774488716102
641_2002_2565_NM01_s202.png,471.29109627198227,10.712954742727227,307.5887598676959,-455.50691792429876,-3.115685768819322,0.1376876567399563,-4.4941452678575615,-3.459696546468006,-359.30985905326617,1024,670,202,21.390047964818212
